INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201802,640211,HISTORIC MONUMENTS - ADMISSION,1,0,100,100,100,0.6,0.16,0.48
201802,210506,HK LAMB LOIN CHOP/STEAK PER KG,1,1,101.328,101.362,101.328,0.2,0.39,0.16
201802,520139,DAILY DISPOSABLE SOFT LENSES,2,1,99.899,99.897,99.897,1.36,1.21,1.36
201802,430119,KITCH BASE UNIT WIDTH 800-1000,2,1,101.354,100.438,100.438,1.44,2.52,1.12
201802,640304,FOREIGN HOLIDAYS-LATE BOOKING,2,0,101.313,101.13,101.13,5.46,7.05,4.34
201802,520244,TOOTHBRUSH,1,1,97.73,97.627,97.73,0.69,0.45,0.57
201802,630234,COMPUTER SOFTWARE,2,0,102.058,97.279,97.279,1.56,0.24,1.3
201802,210910,FRESH BONELESS CHICKEN BREAST,1,1,100.139,100.14,100.139,1.6,2.04,1.28
201802,430108,DOUBLE BED-WIDTH APPROX 135CM,2,1,105.199,103.918,103.918,1.26,1.96,0.98
201802,430323,PHONE NT MOBILE(SPEC DIG/ANAL),2,1,103.903,98.81,98.81,0.23,0.07,0.19
201802,520311,WOMENS HIGHLIGHTING,2,1,100.62,100.469,100.469,1.19,1.12,1.02
201802,610204,"CAR TYRE, STATE SIZE",2,1,100.591,100.471,100.471,0.85,0.8,0.68
201802,510259,WOMENS SHORT SLEEVE FORMAL TOP,2,1,117.001,107.208,107.208,1.04,0.64,0.84
201802,212224,"SWEETS, NOT CHOC, 150-250G BAG",1,1,98.605,98.37,98.605,0.65,1.21,0.55
201802,430304,ELECTRIC COOKER,2,1,105.844,105.214,105.214,0.88,0.7,0.66
201802,310406,FORTIFIED WINE  (70-75CL),1,1,100.959,100.838,100.959,0.36,0.28,0.28
201802,630158,HI-FI,2,1,100.098,99.639,99.639,1.05,0.36,0.84
201802,440403,CABLE TELEPHONES,1,0,100,100,100,0.69,0.5,0.57
201802,410105,LOCAL AUTH RENT - SCOTLAND,1,0,100,100,100,1.72,1.52,1.38
201802,211904,TEA BAGS-2-PACKET OF 240,1,1,93.724,94.243,93.724,0.21,0.23,0.21
201802,211030,MEAT BASED SNACK PACK MAX 400G,1,1,99.576,99.77,99.576,0.8,0.66,0.64
201802,630426,BOOK-NON-FICTION-PAPER-BACK,1,2,92.848,93.858,92.848,1.08,0.54,0.81
201802,430236,CURTAINS READY MADE SP'FY SIZE,2,1,103.219,102.324,102.324,1.19,0.63,0.85
